date,sentiment_corporate,sentiment_energy,sentiment_forex,sentiment_macro,news_count
2010-12-05,0.2098,0.1756,0.1321,0.2942,1
2010-12-06,0.1469,0.1229,0.3096,0.25,1
2010-12-07,0.1028,0.2484,0.2477,0.2125,2
2010-12-08,0.072,0.1739,0.1981,0.1807,0
2010-12-09,0.0504,0.2288,0.1585,0.1536,2
2010-12-10,0.0353,0.1601,0.1268,-0.8261,1
2010-12-11,0.4718,-0.9021,-0.9259,-0.7022,6
2010-12-12,0.483,-0.6315,-0.7407,-0.5969,2
2010-12-13,0.9043,-0.3816,-0.5926,-0.5073,2
2010-12-14,0.633,-0.2671,-0.4741,-0.753,1
2010-12-15,0.1046,-0.609,-0.3792,-0.64,2
2010-12-16,0.0732,-0.4263,-0.3034,-0.544,0
2010-12-17,0.0513,-0.2984,-0.2427,-0.4624,0
2010-12-18,0.0359,-0.2089,-0.1942,-0.3931,0
2010-12-19,-0.1605,-0.1462,0.6706,-0.3341,2
2010-12-20,0.0157,-0.1024,0.5365,-0.284,1
2010-12-21,0.011,0.05,0.4292,-0.2414,1
2010-12-22,0.5179,0.035,0.3433,-0.2052,1
2010-12-23,-0.2481,0.0245,0.2747,-0.8823,2
2010-12-24,-0.1737,-0.002,0.2197,-0.75,1
2010-12-25,-0.1216,0.6268,0.1758,-0.6375,1
2010-12-26,0.3678,0.9318,0.1406,-0.5418,2
2010-12-27,-0.0892,0.6523,0.1125,-0.4606,3
2010-12-28,-0.2186,0.4566,0.09,-0.3915,2
2010-12-29,0.3886,0.0232,0.072,-0.3328,4
2010-12-30,0.0104,-0.8294,0.0576,-0.2828,2
2010-12-31,0.8108,-0.4634,0.0461,0.0293,6
2011-01-01,0.8563,-0.3244,-0.8318,0.0249,3
2011-01-02,0.0357,-0.2271,0.7619,0.0212,2
2011-01-03,-0.144,-0.1589,0.5996,0.018,2
2011-01-04,-0.1008,0.1282,0.4797,-0.0011,3
2011-01-05,-0.0706,0.0898,0.3837,-0.0009,0
2011-01-06,-0.0494,-0.2437,0.307,0.9315,3
2011-01-07,-0.0346,-0.1706,0.2456,0.7918,0
2011-01-08,-0.1971,-0.1194,0.1965,0.673,1
2011-01-09,-0.138,-0.9203,-0.8903,0.5721,2
2011-01-10,0.0866,-0.359,-0.9176,0.9015,6
2011-01-11,0.0606,-0.0359,-0.7341,0.6426,4
2011-01-12,0.0424,0.7268,-0.5873,0.0358,3
2011-01-13,0.0494,0.5088,-0.4698,0.0304,1
2011-01-14,0.8977,-0.8302,-0.3758,0.0259,2
2011-01-15,-0.2267,-0.5811,-0.3007,-0.3966,5
2011-01-16,0.3509,-0.4068,-0.2405,-0.3371,1
2011-01-17,0.2456,-0.764,-0.1924,-0.8708,6
2011-01-18,0.1719,-0.5348,-0.1539,-0.7402,0
2011-01-19,-0.0205,-0.3744,-0.1232,-0.6292,1
2011-01-20,-0.0144,-0.8615,-0.9392,-0.8766,3
2011-01-21,-0.01,-0.603,0.8736,-0.7451,1
2011-01-22,-0.007,-0.545,0.6989,-0.6505,4
2011-01-23,-0.0049,-0.7733,0.5591,-0.5529,1
